case_code	case_name	court_from	court_type	result	author	judge_panel
781 F.3d 1356	Apotex Inc v Daiichi Sankyo Inc	Northern District of Illinois	Federal District Court	REVERSED.	TARANTO	Before TARANTO, MAYER, and CLEVENGER, Circuit Judges.
751 F.3d 1307	In re Packard	Patent Trial and Appeal Board	Federal Court	AFFIRMED		
858 F.3d 1392	Wyandot Nation of Kansas v United States	United States Court of Federal Claims	Federal Court	AFFIRMED	Dyk	Before Dyk, O'Malley, and Wallach, Circuit Judges.
686 F.3d 1322	In re Mouttet			AFFIRMED	REYNA	Before PROST, O'MALLEY and REYNA, Circuit Judges.
803 F.3d 1374	In re Morsa	Patent Trial and Appeal Board	Federal Court	AFFIRMED	PROST	Before PROST, Chief Judge, NEWMAN and O'MALLEY, Circuit Judges.
823 F.3d 615	Diamond Coating Technologies LLC v Hyundai Motor America	Central District of California	Federal District Court	AFFIRMED	WALLACH	Before WALLACH, BRYSON, and TARANTO, Circuit Judges.
809 F.3d 1282	Ariosa Diagnostics Inc v Sequenom Inc	Northern District of California	Federal District Court	(1) The petition for rehearing en banc is denied.		Before  PROST,  Chief  Judge,  NEWMAN,  LOURIE,  DYK,  MOORE,  O'MALLEY,  REYNA,  WALLACH,
686 F.3d 1376	Lenscom Inc v  Contacts Inc	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	LINN	Before NEWMAN, LINN, and MOORE, Circuit Judges.
846 F.3d 1364	Mid Continent Nail Corporation v United States	United States Court of International Trade	Federal Court	AFFIRMED	Dyk	Before Newman, Lourie, and Dyk, Circuit Judges.
726 F.3d 1370	Hamilton Beach Brands Inc v Sunbeam Products Inc	Eastern District of Virginia	Federal District Court	AFFIRMED	O'MALLEY	Before O'MALLEY, BRYSON, and REYNA, Circuit Judges.
730 F.3d 1301	High Point Design LLC v Buyers Direct Inc	Southern District of New York	Federal District Court	REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED.	SCHALL	Before O'MALLEY, SCHALL, and WALLACH, Circuit Judges.
858 F.3d 1383	Rothschild Connected Devices Innovations LLC v Guardian Protection Service	Eastern District of Texas	Federal District Court	REVERSED AND REMANDED	Wallach	Before Prost, Chief Judge, Mayer and Wallach, Circuit Judges.
702 F.3d 624	Brooks v Dunlop Mfg Inc	Northern District of California	Federal District Court	AFFIRMED	PROST	Before NEWMAN, PROST, and MOORE, Circuit Judges.
731 F.3d 1271	Sunovion Pharmaceuticals Inc v Teva Pharmaceuticals USA Inc	District of New Jersey	Federal District Court	REVERSED	LOURIE	Before LOURIE, SCHALL, and REYNA, Circuit Judges.
866 F.3d 1330	Romag Fasteners Inc v Fossil Inc	District of Connecticut	Federal District Court	VACATED AND REMANDED	Dyk	Before Newman, Dyk, and Hughes, Circuit Judges.
795 F.3d 1331	Circuit Check Inc v QXQ Inc	Eastern District of Wisconsin	Federal District Court	REVERSED AND REMANDED	MOORE	
838 F.3d 1236	Husky Injection Molding Systems Ltd v Athena Automation Ltd	Patent Trial and Appeal Board	Federal Court	DISMISSED IN PART, VACATED AND REMANDED IN PART	Lourie	Before Lourie, Plager, and Stoll, Circuit Judges.
839 F.3d 1138	Synopsys Inc v Mentor Graphics Corporation	Northern District of California	Federal District Court	AFFIRMED	Chen	Before Lourie, Moore, and Chen, Circuit Judges.
785 F.3d 567	In re Tam	Trademark Trial and Appeal Board	Federal Court	AFFIRMED.	MOORE	Before LOURIE, MOORE, and O'MALLEY, Circuit Judges.
769 F.3d 1359	IRIS Corp v Japan Airlines Corp	Eastern District of New York	Federal District Court	AFFIRMED	HUGHES	Before PROST, Chief Judge, NEWMAN and HUGHES, Circuit Judges.
677 F.3d 1158	Dey Pharma LP v Sunovion Pharmaceuticals Inc	District of Delaware	Federal District Court	AFFIRMED	DYK	Before BRYSON, DYK, and MOORE, Circuit Judges.
748 F.3d 1189	Monsanto Co v EI Du Pont de Nemours and Co	Eastern District of Missouri	Federal District Court	AFFIRMED	LOURIE	
672 F.3d 1350	Marine Polymer Technologies Inc v HemCon Inc	District of New Hampshire	Federal District Court	AFFIRMED	LOURIE	Before RADER, Chief Judge, NEWMAN, LOURIE, BRYSON, GAJARSA, 1 LINN, DYK, PROST, REYNA, and
780 F.3d 1337	Senju Pharmaceutical Co v Lupin Ltd	District of Delaware	Federal District Court	AFFIRMED	PLAGER	Before NEWMAN, PLAGER, and MOORE, Circuit Judges.
721 F.3d 1330	Fresenius USA Inc v Baxter Intern Inc	Northern District of California	Federal District Court	VACATED AND REMANDED	DYK	Before NEWMAN, DYK, and PROST, Circuit Judges.
729 F.3d 1369	St Jude Medical Inc v Access Closure Inc	Western District of Arkansas	Federal District Court	AFFIRMED–IN–PART; REVERSED–IN–PART	PLAGER	Before LOURIE, PLAGER, and WALLACH, Circuit Judges.
868 F.3d 1342	In re Stepan Company	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED		Before Lourie, Moore, and O'Malley, Circuit Judges.
664 F.3d 907	MarcTec LLC v Johnson And Johnson	Federal Circuit	Appellate Court	AFFIRMED.	O'MALLEY	Before NEWMAN, PROST, and O'MALLEY, Circuit Judges.
786 F.3d 879	Lelo Inc v International Trade Com'n	International Trade Commission	Federal Court	REVERSED	REYNA	Before MOORE, CLEVENGER, and REYNA, Circuit Judges.
809 F.3d 599	Atlas IP LLC v Medtronic Inc	Southern District of Florida	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, AND REMANDED	TARANTO	Before MOORE, REYNA, and TARANTO, Circuit Judges.
839 F.3d 1089	FairWarning IP LLC v Iatric Systems Inc	Middle District of Florida	Federal District Court	AFFIRMED	Stoll	Before Lourie, Plager, and Stoll, Circuit Judges.
856 F.3d 1365	ArcelorMittal v AK Steel Corporation	District of Delaware	Federal District Court	AFFIRMED	Hughes	Before Moore, Wallach, and Hughes, Circuit Judges.
780 F.3d 1364	Cadence Pharmaceuticals Inc v Exela PharmSci Inc	District of Delaware	Federal District Court	AFFIRMED	LINN	Before REYNA, LINN, and WALLACH, Circuit Judges.
791 F.3d 1368	Medicines Co v Hospira Inc	District of Delaware	Federal District Court	REVERSED.	HUGHES	Before DYK, WALLACH, and HUGHES, Circuit Judges.
717 F.3d 1351	Ateliers de la HauteGaronne v Broetje Automation USA Inc	District of Delaware	Federal District Court	REVERSED IN PART, AFFIRMED IN PART, AND REMANDED	NEWMAN	Before NEWMAN, PROST, and REYNA, Circuit Judges.
664 F.3d 922	Celsis In Vitro Inc v CellzDirect Inc	Northern District of Illinois	Federal District Court	AFFIRMED.	RADER	Before RADER, Chief Judge, GAJARSA, and PROST, Circuit Judges.
848 F.3d 994	Organik Kimya San ve Tic AS v International Trade Commission	Federal Circuit	Appellate Court	AFFIRMED.	O'Malley	Before Lourie, Mayer, and O'Malley, Circuit Judges.
859 F.3d 1044	Credit Acceptance Corp v Westlake Services	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Dyk	Before Dyk, Mayer, and Reyna, Circuit Judges.
695 F.3d 1339	In re Miracle Tuesday LLC	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	O'MALLEY	Before RADER, Chief Judge, LINN and O'MALLEY, Circuit Judges.
856 F.3d 1353	Aylus Networks Inc v Apple Inc	Northern District of California	Federal District Court	AFFIRMED	Stoll	Before Moore, Linn, and Stoll, Circuit Judges.
814 F.3d 1343	Luminara Worldwide LLC v Liown Electronics Co Ltd	District of Minnesota	Federal District Court	VACATED AND REMANDED	MOORE	Before MOORE, O'MALLEY, and TARANTO, Circuit Judges.
746 F.3d 1045	Brain Life LLC v Elekta Inc	Southern District of California	Federal District Court	AFFIRMED IN PART, VACATED IN PART, AND REMANDED.	O'MALLEY	Before O'MALLEY, BRYSON, and WALLACH, Circuit Judges.
742 F.3d 973	Tempo Lighting Inc v Tivoli LLC	Patent Trial and Appeal Board	Federal Court	AFFIRMED–IN–PART, VACATED–IN–PART AND REMANDED.	RADER	Before RADER, Chief Judge, MOORE, and WALLACH, Circuit Judges.
810 F.3d 1333	Nan Ya Plastics Corp Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED	WALLACH	Before PROST, Chief Judge, LOURIE and WALLACH, Circuit Judges.
853 F.3d 1370	Rembrandt Wireless Technologies LP v Samsung Electronics Co Ltd	Eastern District of Texas	Federal District Court	AFFIRMED-IN-PART, VACATED-IN-PART, AND REMANDED.	Stoll	
869 F.3d 1372	Lifetime Industries Inc v TrimLok Inc	Northern District of Indiana	Federal District Court	REVERSED AND REMANDED	Lourie	Before Lourie, Moore, and O'Malley, Circuit Judges.
772 F.3d 1289	Home Meridian Intern Inc v US			REVERSED	O'MALLEY	Before O'MALLEY, TARANTO, and CHEN, Circuit Judges.
865 F.3d 1372	Homeland Housewares LLC v Whirlpool Corporation	Patent Trial and Appeal Board	Federal Court	REVERSED		Before Prost, Chief Judge, Newman, and Dyk, Circuit Judges.
781 F.3d 1349	Exela Pharma Sciences LLC v Lee	Eastern District of Virginia	Federal District Court	AFFIRMED.		Before NEWMAN and DYK, Circuit Judges. *
695 F.3d 1322	Matthews Intern Corp v Biosafe Engineering LLC	Western District of Pennsylvania	Federal District Court	AFFIRMED	MAYER	Before RADER, Chief Circuit Judge, MAYER and SCHALL, Circuit Judges.
769 F.3d 1073	SSL Services LLC v Citrix Systems Inc	Eastern District of Texas	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED.	O'MALLEY	Before LOURIE, LINN, and O'MALLEY, Circuit Judges.
744 F.3d 732	Ancora Technologies Inc v Apple Inc	Northern District of California	Federal District Court	AFFIRMED IN PART, REVERSED IN PART, AND REMANDED.	TARANTO	Before RADER, Chief Judge, TARANTO, and CHEN, Circuit Judges.
778 F.3d 1341	Gilead Sciences Inc v Lee	Eastern District of Virginia	Federal District Court	AFFIRMED	WALLACH	Before DYK, WALLACH, and HUGHES, Circuit Judges.
773 F.3d 1300	Japanese Foundation for Cancer Research v Lee	Eastern District of Virginia	Federal District Court	REVERSED AND VACATED	PROST	Before PROST, Chief Judge, DYK and TARANTO, Circuit Judges.
866 F.3d 1304	Diamond Sawblades Manufacturers Coalition v United States	United States Court of International Trade	Federal Court	AFFIRMED	O'Malley	Before Lourie, O'Malley, and Taranto, Circuit Judges.
698 F.3d 1349	In re Baxter Intern Inc	Federal Circuit	Appellate Court	(2) The petition of Appellant for rehearing en banc is denied.		Before  RADER,  Chief  Judge,  NEWMAN,  LOURIE,  BRYSON,  LINN,  DYK,  PROST,  MOORE,  O'MALLEY,
820 F.3d 1287	In re Queen's University at Kingston	Eastern District of Texas	Federal District Court	REVERSED AND REMANDED	O'MALLEY	Before LOURIE, O'MALLEY, and REYNA, Circuit Judges.
844 F.3d 1334	Kyocera Solar Inc v United States International Trade Commission	International Trade Commission	Federal Court	AFFIRMED	Stoll	Before Dyk, O'Malley, and Stoll, Circuit Judges.
793 F.3d 1306	Versata Development Group Inc v SAP America Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	PLAGER	Before NEWMAN, PLAGER, and HUGHES, Circuit Judges.
849 F.3d 1360	Prism Technologies LLC v Sprint Spectrum LP	District of Nebraska	Federal District Court	AFFIRMED	Taranto	Before Taranto, Linn, and Chen, Circuit Judges.
824 F.3d 989	David Netzer Consulting Engineer LLC v Shell Oil Company	Southern District of Texas	Federal District Court	AFFIRMED	Lourie	Before Prost, Chief Judge, Lourie and Taranto, Circuit Judges.
787 F.3d 1368	MZ Berger And Co Inc v Swatch AG	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	CHEN	Before LOURIE, CHEN, and HUGHES, Circuit Judges.
674 F.3d 1365	Advanced Fiber Technologies (AFT) Trust v J And L Fiber Services Inc	Northern District of New York	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED	LOURIE	
771 F.3d 1336	Azure Networks LLC v CSR PLC	Eastern District of Texas	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED.	CHEN	Before REYNA, MAYER, and CHEN, Circuit Judges.
877 F.3d 1361	HTC Corporation v Cellular Communications Equipment LLC	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Reyna	Before Dyk, Reyna, and Taranto, Circuit Judges.
853 F.3d 1249	Reoforce Inc v United States	United States Court of Federal Claims	Federal Court	AFFIRMED-IN-PART, REVERSED-IN-PART	Stoll	Before Newman, Chen, and Stoll, Circuit Judges.
874 F.3d 724	Merck Sharp And Dohme Corp v Hospira Inc	District of Delaware	Federal District Court	AFFIRMED	Lourie	Before Newman, Lourie, and Hughes, Circuit Judges.
744 F.3d 1325	Danisco US Inc v Novozymes AS	Northern District of California	Federal District Court	REVERSED and REMANDED.	LOURIE	Before LOURIE, PROST, and O'MALLEY, Circuit Judges.
851 F.3d 1270	Nidec Motor Corporation v Zhongshan Broad Ocean Motor Co Ltd	Patent Trial and Appeal Board	Federal Court	REVERSED	Moore	Before Lourie, Moore, and Taranto, Circuit Judges.
748 F.3d 1365	Fine Furniture (Shanghai) Ltd v US			AFFIRMED	PLAGER	Before NEWMAN, PLAGER, and CHEN, Circuit Judges.
783 F.3d 1262	InfoHold Inc v Applied Media Technologies Corp	Southern District of Ohio	Federal District Court	REVERSED AND REMANDED	REYNA	Before REYNA, WALLACH, and TARANTO, Circuit Judges.
792 F.3d 1373	Celgard LLC v SK Innovation Co Ltd	Western District of North Carolina	Federal District Court	AFFIRMED	REYNA	Before NEWMAN, REYNA, and WALLACH, Circuit Judges.
754 F.3d 1375	Riddell Inc v US	United States Court of International Trade	Federal Court	AFFIRMED IN PART, REVERSED IN PART.	TARANTO	Before NEWMAN, LOURIE, and TARANTO, Circuit Judges.
843 F.3d 1373	Papierfabrik August Koehler SE v United States	United States Court of International Trade	Federal Court	AFFIRMED	Taranto	Before Taranto, Chen, and Stoll, Circuit Judges.
841 F.3d 1334	Alfred E Mann Foundation for Scientific Research v Cochlear Corporation	Central District of California	Federal District Court	AFFIRMED-IN-PART, REVERSED-IN-PART, VACATED-IN-PART, AND REMANDED	Hughes	Before Newman, Chen, and Hughes, Circuit Judges.
678 F.3d 1300	Leader Technologies Inc v Facebook Inc	District of Delaware	Federal District Court	AFFIRMED	LOURIE	Before LOURIE, MOORE, and WALLACH, Circuit Judges.
864 F.3d 1374	Earnhardt v Kerry Earnhardt Inc	Trademark Trial and Appeal Board	Federal Court	VACATED AND REMANDED	Chen	Before Wallach, Chen and Hughes, Circuit Judges.
710 F.3d 1362	In re Owens			AFFIRMED	PROST	Before PROST, MOORE, and WALLACH, Circuit Judges.
757 F.3d 1374	Dependable Packaging Solutions Inc v US			AFFIRMED	WALLACH	Before WALLACH, MAYER, and CHEN, Circuit Judges.
812 F.3d 1040	Avid Technology Inc v Harmonic Inc	District of Delaware	Federal District Court	VACATED AND REMANDED	TARANTO	Before REYNA, TARANTO, and STOLL, Circuit Judges.
673 F.3d 1361	Ergo Licensing LLC v CareFusion  Inc	District of Maine	Federal District Court	AFFIRMED	MOORE	Before NEWMAN, LINN, and MOORE, Circuit Judges.
839 F.3d 1382	Medtronic Inc v Robert Bosch Healthcare Systems Inc	Patent Trial and Appeal Board	Federal Court		Dyk	Before Lourie, Dyk, and Hughes, Circuit Judges.
778 F.3d 1320	Fenner Investments Ltd v Cellco Partnership	Eastern District of Texas	Federal District Court	AFFIRMED.	NEWMAN	Before NEWMAN, SCHALL, and HUGHES, Circuit Judges.
870 F.3d 1376	Idemitsu Kosan Co Ltd v SFC Co Ltd	Patent Trial and Appeal Board	Federal Court	AFFIRMED	O'Malley	Before Prost, Chief Judge, O'Malley, and Chen, Circuit Judges.
848 F.3d 1006	Changzhou Hawd Flooring Co Ltd v United States	United States Court of International Trade	Federal Court	VACATED AND REMANDED.	Taranto	Before Lourie, Taranto, and Chen, Circuit Judges.
800 F.3d 1366	Media Rights Technologies Inc v Capital One Financial Corp	Eastern District of Virginia	Federal District Court	AFFIRMED.	O'MALLEY	Before O'MALLEY, PLAGER, and TARANTO, Circuit Judges.
823 F.3d 594	In re Cordua Restaurants Inc	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	DYK	Before PROST, Chief Judge, DYK, and STOLL, Circuit Judges.
811 F.3d 1359	Trustees of Columbia University in City of New York v Symantec Corp	Eastern District of Virginia	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, REMANDED–IN–PART	DYK	Before PROST, Chief Judge, DYK, and HUGHES, Circuit Judges.
700 F.3d 1329	Cummins Inc v TAS Distributing Co Inc	Central District of Illinois	Federal District Court	AFFIRMED	REYNA	Before NEWMAN, BRYSON, and REYNA, Circuit Judges.
837 F.3d 1358	WesternGeco LLC v ION Geophysical Corporation	Southern District of Texas	Federal District Court	AFFIRMED-IN-PART, REVERSED-IN-PART, VACATED-IN-PART, AND REMANDED	Dyk	Before Dyk, Wallach, and Hughes, Circuit Judges.
782 F.3d 649	Stryker Corp v Zimmer Inc	Western District of Michigan	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED	PROST	Before PROST, Chief Judge, NEWMAN and HUGHES, Circuit Judges.
700 F.3d 524	Revision Military Inc v Balboa Mfg Co	District of Vermont	Federal District Court	VACATED AND REMANDED	NEWMAN	Before NEWMAN, CLEVENGER, and LINN, Circuit Judges.
817 F.3d 1293	Shaw Industries Group Inc v Automated Creel Systems Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED	MOORE	Before MOORE, REYNA, and WALLACH, Circuit Judges.
782 F.3d 671	Vasudevan Software Inc v MicroStrategy Inc	Northern District of California	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART AND REMANDED.	LINN	Before CHEN, LINN, and HUGHES, Circuit Judges.
827 F.3d 1355	Hutchison Quality Furniture Inc v United States	Federal Circuit	Appellate Court	AFFIRMED	Wallach	Before Reyna, Clevenger, and Wallach, Circuit Judges.
751 F.3d 1355	In re Geller	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	WALLACH	Before NEWMAN, O'MALLEY, and WALLACH, Circuit Judges.
758 F.3d 1352	Medisim Ltd v BestMed LLC	Southern District of New York	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED	PROST	Before PROST, Chief Judge, TARANTO and CHEN, Circuit Judges.
723 F.3d 1363	Teva Pharmaceuticals USA Inc v Sandoz Inc	Southern District of New York	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART AND REMANDED	MOORE	Before RADER, Chief Judge, MOORE, Circuit Judge, and BENSON, District Judge. **
838 F.3d 1224	Cox Communications Inc v Sprint Communication Company LP	District of Delaware	Federal District Court	REVERSED	Prost	Before Prost, Chief Judge, Newman and Bryson, Circuit Judges.
791 F.3d 1373	Daiichi Sankyo Co Ltd v Lee	Federal Circuit	Appellate Court	AFFIRMED	REYNA	Before MOORE, REYNA, and TARANTO, Circuit Judges.
744 F.3d 1319	Marvin Furniture (Shanghai) Co Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED.	REYNA	Before RADER, Chief Judge, PROST, and REYNA, Circuit Judges.
708 F.3d 1310	Function Media LLC v Google Inc	Eastern District of Texas	Federal District Court	AFFIRMED	REYNA	Before RADER, Chief Judge, NEWMAN, and REYNA, Circuit Judges.
818 F.3d 1320	Rembrandt Vision Technologies LP v Johnson And Johnson Vision Care Inc	Middle District of Florida	Federal District Court	REVERSED AND REMANDED	STOLL	Before DYK, MOORE, and STOLL, Circuit Judges.
701 F.3d 698	OSRAM Sylvania Inc v American Induction Technologies Inc	Central District of California	Federal District Court	REVERSED AND REMANDED.	O'MALLEY	Before O'MALLEY, PLAGER, and REYNA, Circuit Judges.
846 F.3d 1213	Cumberland Pharmaceuticals Inc v Mylan Institutional LLC	Northern District of Illinois	Federal District Court	AFFIRMED	Taranto	Before Moore, Reyna, and Taranto, Circuit Judges.
684 F.3d 1364	WiLAN Inc v Kilpatrick Townsend And Stockton LLP	Northern District of California	Federal District Court	VACATED AND REMANDED	CLEVENGER	Before MOORE, CLEVENGER, and REYNA, Circuit Judges.
854 F.3d 1344	PhilInsul Corp v Airlite Plastics Co	District of Nebraska	Federal District Court	AFFIRMED	O’Malley	Before O’Malley, Bryson, and Wallach, Circuit Judges.
700 F.3d 1348	Pregis Corp v Kappos	Eastern District of Virginia	Federal District Court	AFFIRMED	REYNA	Before PROST, CLEVENGER, and REYNA, Circuit Judges.
694 F.3d 10	Whitserve LLC v Computer Packages Inc	District of Connecticut	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, VACATED–IN–PART, AND REMANDED.	O'MALLEY	Before PROST, MAYER and O'MALLEY, Circuit Judges.
859 F.3d 998	Secure Axcess LLC v PNC Bank National Association	Patent Trial and Appeal Board	Federal Court	The petitions for rehearing en banc are denied.		Before Prost, Chief Judge, Newman, Plager * , Lourie, Dyk, Moore, O'Malley, Reyna, Wallach, Taranto, Chen, and
